,team,home_game_count,away_team,away_game_count,home_goals,home_lost_goals,home_goals_per_game,away_lost_goals,away_goals,away_goals_per_game,total_goals,total_games,results,winning_rate
35,Brazil,496.0,Brazil,377.0,1182.0,366.0,1548.0,346.0,702.0,1048.0,1884.0,873.0,571.0,0.6540664375715922
103,Germany,407.0,Germany,349.0,960.0,364.0,1324.0,390.0,654.0,1044.0,1614.0,756.0,455.0,0.6018518518518519
254,Spain,325.0,Spain,294.0,734.0,236.0,970.0,302.0,480.0,782.0,1214.0,619.0,363.0,0.5864297253634895
84,England,380.0,England,362.0,785.0,307.0,1092.0,350.0,621.0,971.0,1406.0,742.0,407.0,0.5485175202156334
127,Iran,277.0,Iran,215.0,582.0,183.0,765.0,212.0,323.0,535.0,905.0,492.0,269.0,0.5467479674796748
71,Czech Republic,142.0,Czech Republic,149.0,306.0,122.0,428.0,163.0,217.0,380.0,523.0,291.0,157.0,0.5395189003436426
66,Croatia,144.0,Croatia,153.0,287.0,117.0,404.0,165.0,222.0,387.0,509.0,297.0,159.0,0.5353535353535354
95,France,382.0,France,278.0,769.0,328.0,1097.0,325.0,405.0,730.0,1174.0,660.0,353.0,0.5348484848484848
184,New Caledonia,133.0,New Caledonia,94.0,383.0,159.0,542.0,163.0,231.0,394.0,614.0,227.0,120.0,0.5286343612334802
251,South Korea,463.0,South Korea,387.0,921.0,342.0,1263.0,423.0,565.0,988.0,1486.0,850.0,448.0,0.5270588235294118
12,Argentina,400.0,Argentina,330.0,807.0,339.0,1146.0,394.0,454.0,848.0,1261.0,730.0,381.0,0.5219178082191781
133,Italy,356.0,Italy,287.0,650.0,236.0,886.0,306.0,365.0,671.0,1015.0,643.0,335.0,0.52099533437014
265,Tahiti,94.0,Tahiti,116.0,279.0,127.0,406.0,223.0,285.0,508.0,564.0,210.0,109.0,0.5190476190476191
183,Netherlands,332.0,Netherlands,293.0,744.0,283.0,1027.0,377.0,477.0,854.0,1221.0,625.0,323.0,0.5168
222,Russia,291.0,Russia,387.0,597.0,226.0,823.0,403.0,569.0,972.0,1166.0,678.0,348.0,0.5132743362831859
171,Mexico,489.0,Mexico,345.0,945.0,418.0,1363.0,448.0,463.0,911.0,1408.0,834.0,416.0,0.4988009592326139
134,Ivory Coast,266.0,Ivory Coast,290.0,535.0,221.0,756.0,355.0,356.0,711.0,891.0,556.0,276.0,0.49640287769784175
212,Portugal,289.0,Portugal,261.0,574.0,244.0,818.0,339.0,353.0,692.0,927.0,550.0,273.0,0.49636363636363634
81,Egypt,370.0,Egypt,246.0,736.0,311.0,1047.0,306.0,244.0,550.0,980.0,616.0,301.0,0.48863636363636365
16,Australia,270.0,Australia,211.0,617.0,265.0,882.0,243.0,306.0,549.0,923.0,481.0,235.0,0.4885654885654886
302,Yugoslavia,140.0,Yugoslavia,216.0,320.0,143.0,463.0,321.0,348.0,669.0,668.0,356.0,171.0,0.4803370786516854
259,Sweden,351.0,Sweden,399.0,676.0,335.0,1011.0,483.0,584.0,1067.0,1260.0,750.0,360.0,0.48
104,Ghana,282.0,Ghana,313.0,553.0,228.0,781.0,384.0,416.0,800.0,969.0,595.0,284.0,0.4773109243697479
136,Japan,358.0,Japan,245.0,644.0,374.0,1018.0,299.0,384.0,683.0,1028.0,603.0,287.0,0.4759535655058043
235,Saudi Arabia,358.0,Saudi Arabia,248.0,650.0,327.0,977.0,326.0,304.0,630.0,954.0,606.0,288.0,0.4752475247524752
56,China PR,324.0,China PR,249.0,687.0,306.0,993.0,315.0,329.0,644.0,1016.0,573.0,272.0,0.47469458987783597
102,German DR,132.0,German DR,166.0,254.0,125.0,379.0,236.0,252.0,488.0,506.0,298.0,140.0,0.4697986577181208
26,Belgium,309.0,Belgium,263.0,594.0,339.0,933.0,389.0,363.0,752.0,957.0,572.0,268.0,0.46853146853146854
178,Morocco,276.0,Morocco,250.0,475.0,179.0,654.0,263.0,262.0,525.0,737.0,526.0,244.0,0.46387832699619774
188,Nigeria,266.0,Nigeria,302.0,510.0,192.0,702.0,376.0,332.0,708.0,842.0,568.0,263.0,0.4630281690140845
